"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Fusobacteria","Deinococcus_Thermus","Acidobacteria","Tenericutes","Cyanobacteria","Verrucomicrobia","Euryarchaeota"
"X206695",0.458592132505176,0.3136645962732919,0.13871635610766045,0.025879917184265012,0.009316770186335404,0.0010351966873706005,0.0,0.0,0.051759834368530024,0.0010351966873706005,0.0
"X206700",0.3073861563463898,0.2977679015621372,0.20277934396869093,6.633279161553514e-05,0.19200026533116646,0.0,0.0,0.0,0.0,0.0,0.0
"X206757",0.02149965191039764,0.4623448953683607,0.496171014374053,0.0199434866292641,4.095171792456694e-05,0.0,0.0,0.0,0.0,0.0,0.0
"X206701",0.9768500455195734,0.010014306151645207,0.005722460658082976,0.0018207829366627649,0.005072181037846274,0.0005202236961893615,0.0,0.0,0.0,0.0,0.0
"X206709",0.03870230751656386,0.4131140050262737,0.5467671921407357,0.0009138679460817912,0.0005026273703449851,0.0,0.0,0.0,0.0,0.0,0.0
"X206747",0.03231909191234432,0.5138998370907563,0.4507330915970361,0.0010510273792632297,0.001996952020600137,0.0,0.0,0.0,0.0,0.0,0.0
"X206720",0.057473784208410976,0.3607731374913223,0.5787204501443238,0.0011326683474003434,0.0018999598085425117,0.0,0.0,0.0,0.0,0.0,0.0
"X206723",0.8148148148148148,0.14814814814814814,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206727",0.12325218120166115,0.56135939345449,0.29028079399550427,0.0010667885853621365,0.024040842762982437,0.0,0.0,0.0,0.0,0.0,0.0
"X206734",0.10207356596708725,0.20760831943614108,0.6810043736823889,0.0008810295459551305,0.008432711368427676,0.0,0.0,0.0,0.0,0.0,0.0
"X206751",0.030207677784770296,0.4934314033983638,0.4758495909376967,0.00019666456891126495,0.0,0.0,0.0,3.933291378225299e-05,0.0,0.00011799874134675897,0.00015733165512901197
"X206755",0.07325844512687894,0.5084047195732988,0.40835623080652983,0.0005252949733311783,0.00016162922256343946,0.0,0.0,0.0,0.0,0.00929368029739777,0.0
"X206767",0.1243224640798417,0.32642174997849094,0.5181966789985374,0.0014626172244687258,0.029596489718661276,0.0,0.0,0.0,0.0,0.0,0.0
"X206769",0.7675276752767528,0.16974169741697417,0.014760147601476014,0.04797047970479705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224328",0.15422543286320375,0.35366739288307913,0.4832396896380384,0.008714596949891068,0.00015288766578756258,0.0,0.0,0.0,0.0,0.0,0.0
"X219633",0.014048059149722736,0.844547134935305,0.14041897720271104,0.0008009858287122613,0.00018484288354898336,0.0,0.0,0.0,0.0,0.0,0.0
"X219637",0.325,0.15,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219654",0.049273953460113006,0.6425663770581445,0.17692447900844524,0.01518925815663163,0.005285861838507808,0.0,0.0,0.0,0.0,0.09745428033294853,0.013305790145209308
"X219693",0.03234728234728235,0.9155844155844156,0.04846079846079846,0.003487253487253487,0.0,0.00012025012025012025,0.0,0.0,0.0,0.0,0.0
"X219668",0.4896,0.4912,0.0144,0.0,0.0032,0.0,0.0,0.0,0.0,0.0016,0.0
"X219675",0.03421163195486465,0.3433167276874137,0.20430946521817417,0.0018606326150891303,0.41594142008282814,0.0,0.00024008162775343615,0.0,0.0,0.00012004081387671808,0.0
"X219691",0.045377847414728216,0.82837170061468,0.11871760877425576,0.0033747137519585394,0.0031336627696757864,0.0,0.0,0.0,0.0010244666747016994,0.0,0.0
