"","Proteobacteria","Firmicutes","Bacteroidetes","Actinobacteria","Acidobacteria","Verrucomicrobia","Fusobacteria","Deinococcus_Thermus","Cyanobacteria","Tenericutes","Chloroflexi","Chlorobi","Synergistetes","Lentisphaerae","Euryarchaeota","Planctomycetes","Tectomicrobia","Armatimonadetes","Parcubacteria","Gemmatimonadetes"
"X206732",0.0248362094806,0.394938551792,0.562026292125,0.0150730098917,0.0,0.0,0.000342568406629,0.0,0.0,0.0,0.0,0.0,0.0,0.0026977262022,8.56421016572e-05,0.0,0.0,0.0,0.0,0.0
"X206731",0.0169718081659,0.460223590408,0.50518470512,0.0164047310434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00109364873623,0.000121516526248,0.0,0.0,0.0,0.0,0.0
"X206754",0.0624881830214,0.526706371715,0.363301191151,0.0194743807903,0.000567214974475,0.000283607487238,0.0266118358858,0.0,4.72679145396e-05,0.0,0.000189071658158,0.0,0.0,0.0,0.000330875401777,0.0,0.0,0.0,0.0,0.0
"X206762",0.125538793103,0.505687260536,0.359075670498,0.00903975095785,0.0,0.0,0.000658524904215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206761",0.0909826638838,0.363376922094,0.536610299442,0.00851897601908,0.0,0.0,0.000511138561145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206770",0.031875264027,0.557893928338,0.405775951457,0.00433964437958,3.84039325627e-05,0.0,7.68078651254e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224330",0.0584887613582,0.424294595887,0.505260640842,0.0109516977523,0.0,0.000191296030607,0.0,0.0,0.0,0.0,0.000143472022956,0.0,0.0,0.0,0.0,0.0,0.0,0.000286944045911,0.0,0.000382592061215
"X224325",0.115189495673,0.341689048045,0.540846016115,0.00149209191286,0.0,0.0,0.000783348254252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X224326",0.12962962963,0.385004353359,0.484495345255,0.000401848503114,0.0,3.34873752595e-05,0.000435335878374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206571",0.283726973936,0.216922724146,0.491248184667,0.000305740273638,0.0,0.0,0.00756707177253,0.0,0.000229305205228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206603",0.275883891655,0.276558940174,0.437642393047,0.000126571597334,0.0,0.0,0.00978820352713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206572",0.458674188999,0.209661495063,0.325740479549,0.00162200282087,0.0,0.0,0.00430183356841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X215061",0.225516687359,0.52019279924,0.241583290732,0.000292120061345,0.0,0.00657270138027,0.0,0.0,0.000511210107354,0.00262908055211,0.0,0.0,0.000803330168699,0.0,0.00167969035273,0.0,0.000219090046009,0.0,0.0,0.0
"X215062",0.206853912736,0.60687157746,0.166401695813,0.00158982511924,0.0,0.00759583112524,0.0,0.0,0.000529941706412,0.00229641406112,0.0,0.0,0.0012365306483,0.0,0.00627097685921,0.0,0.0,0.0,0.000353294470942,0.0
"X215080",0.207963528784,0.442843978854,0.283233910471,0.0379746835443,9.69979145448e-05,0.0247344682089,0.00189145933362,0.0,0.000921480188176,0.000339492700907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219643",0.0103879584482,0.736273054908,0.223341106636,0.0155819376722,0.0,0.000688997244011,0.000370998516006,0.0,0.0133559465762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219644",0.000650336006937,0.925037936267,0.0733145458487,0.00082375894212,0.0,0.0,0.000173422935183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219646",0.0159863784704,0.667171167762,0.312018162039,0.00477699475004,0.0,0.0,4.72969777231e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219645",0.0232709308372,0.535404749523,0.438637545502,0.00247009880395,0.0,4.3335066736e-05,0.000130005200208,0.0,4.3335066736e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219670",0.0131873600398,0.839574521025,0.141390893257,0.00516297586464,0.0,0.0,0.0,0.0,0.000684249813386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X219669",0.0133962106669,0.895042150071,0.0888072781905,0.00242049912361,0.0,0.0,0.0,0.0,0.000333861948084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
