"","Rhodospirillales","Burkholderiales","Clostridiales","Bacteroidales","Rhodobacterales","Pasteurellales","Corynebacteriales","Solibacterales","Pseudomonadales","Sphingomonadales","Lactobacillales","Selenomonadales","Flavobacteriales","Erysipelotrichales","Chthoniobacterales","Bacillales","Fusobacteriales","Sphingobacteriales","Coriobacteriales","Opitutales","Caulobacterales","Bifidobacteriales","Actinomycetales","Rhizobiales","Thermales","Micrococcales","Cytophagales","Gastranaerophilales","Desulfovibrionales","Blastocatellales","Mollicutes_RF9","Unknown_Order","Anaerolineales","Chromatiales","Chlorobiales","OPB35_soil_group(class)","Synergistales","Tectomicrobia(phylum)","Propionibacteriales","Methanobacteriales","Neisseriales","Planctomycetales","Myxococcales","Thermoplasmatales","Streptomycetales","Chloroplast(class)","Frankiales","Campylobacterales","Acidimicrobiales","Legionellales","ML635J_21(class)","Acidobacteriales","Methylophilales","Enterobacteriales","SubsectionIV","Anaeroplasmatales","Verrucomicrobiales","TK10(class)","Candidatus_Nomurabacteria(class)","Aeromonadales","Cellvibrionales","SubsectionI","Subgroup_2(class)","Rhodocyclales","Pseudonocardiales"
"X206621",0.0,0.0,0.14705882352941177,0.6764705882352942,0.0,0.0,0.0,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206622",0.0,0.0,0.4033432638199272,0.5607414763323403,0.0009930486593843098,0.0,0.00016550810989738498,0.0026481297583581596,0.005627275736511089,0.00016550810989738498,0.0008275405494869249,0.007944389275074478,0.0004965243296921549,0.0018205892088712346,0.0,0.0,0.0,0.0018205892088712346,0.0,0.0,0.0009930486593843098,0.0,0.0,0.003641178417742469,0.0,0.0004965243296921549,0.0011585567692816948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011585567692816948,0.0,0.0,0.0006620324395895399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004137702747434625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006620324395895399,0.0,0.0,0.0004965243296921549
"X206620",0.0,0.0,0.3387096774193548,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41935483870967744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206624",0.06424581005586592,0.0,0.10893854748603352,0.0935754189944134,0.0,0.0,0.051675977653631286,0.0,0.23324022346368714,0.0,0.0,0.0,0.0,0.030726256983240222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027932960893854747,0.0,0.02653631284916201,0.0,0.12290502793296089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05726256983240224,0.0,0.0,0.0,0.027932960893854747,0.0,0.0,0.04748603351955307,0.0,0.0,0.01675977653631285,0.0,0.0,0.008379888268156424,0.0,0.046089385474860335,0.015363128491620111,0.0,0.0,0.0,0.0,0.02094972067039106,0.0,0.0,0.0,0.0,0.0
"X206623",0.0,0.0,0.004807692307692308,0.09134615384615384,0.0,0.0,0.2932692307692308,0.0,0.052884615384615384,0.0,0.11538461538461539,0.004807692307692308,0.2980769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13942307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206626",0.0,0.034782608695652174,0.6695652173913044,0.06956521739130435,0.0,0.0,0.0,0.0,0.030434782608695653,0.0,0.0,0.043478260869565216,0.0,0.013043478260869565,0.0,0.0,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08260869565217391,0.0,0.0,0.05217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206625",0.0,0.05405405405405406,0.3159159159159159,0.5519519519519519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010810810810810811,0.0,0.02042042042042042,0.0,0.013813813813813814,0.0,0.0,0.0012012012012012011,0.0,0.0,0.0,0.0012012012012012011,0.0,0.0,0.0,0.0,0.0,0.010810810810810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921921921921922,0.0,0.0,0.0006006006006006006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206628",0.0,0.0,0.21103896103896103,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.05844155844155844,0.016233766233766232,0.0,0.21428571428571427,0.0,0.0,0.006493506493506494,0.003246753246753247,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206627",0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476190476190477,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"X206630",0.0008663008951775916,0.01891423621137742,0.5846087207623448,0.2822697083453653,0.0,0.00822985850418712,0.005342188853595149,0.0,0.00014438348252959862,0.0,0.0025989026855327752,0.012994513427663876,0.0015882183078255846,0.05111175281547791,0.0,0.0014438348252959862,0.004764654923476754,0.0,0.005919722783713543,0.0,0.0,0.006064106266243142,0.0,0.0,0.0010106843777071904,0.0027432861680623736,0.0,0.0010106843777071904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007507941091539128,0.0,0.0008663008951775916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
