"","Comamonadaceae","Christensenellaceae","Prevotellaceae","Family_XIII","Rhodobacteraceae","Ruminococcaceae","Corynebacteriaceae","Peptococcaceae","Acetobacteraceae","Pseudomonadaceae","Sphingomonadaceae","Lactobacillaceae","Lachnospiraceae","Alcaligenaceae","Veillonellaceae","Erysipelotrichaceae","Clostridiales_vadinBB60_group","Family_XI","Leptotrichiaceae","Bifidobacteriaceae","Thermaceae","Coriobacteriaceae","Bacteroidaceae","Porphyromonadaceae","Streptococcaceae","Peptostreptococcaceae","Rikenellaceae","Fusobacteriaceae","Aerococcaceae","Actinomycetaceae","Defluviitaleaceae","Moraxellaceae","Eubacteriaceae","Brucellaceae","Micrococcaceae","Gastranaerophilales(order)","Desulfovibrionaceae","Methylobacteriaceae","Mollicutes_RF9(order)","Acidaminococcaceae","Bacteroidales_S24_7_group","Chitinophagaceae","Neisseriaceae","JG30_KF_CM45(order)","Rhizobiaceae","Cardiobacteriaceae","Intrasporangiaceae","Shewanellaceae","Chloroplast(class)","Staphylococcaceae","Campylobacteraceae","Flavobacteriaceae","Pasteurellaceae","Xanthomonadaceae","Alteromonadaceae","Cytophagaceae","Enterobacteriaceae","Verrucomicrobiaceae","Carnobacteriaceae","Methanobacteriaceae","Clostridiaceae_1","Erythrobacteraceae","Latescibacteria(phylum)"
"X206704",0.0,0.0014041151374412702,0.00016201328508937734,0.0002160177134525031,0.0,0.15645082896797538,0.0,0.0,0.0,0.0002160177134525031,0.0,0.0004320354269050062,0.37927310039423234,0.020359669492898417,0.057514716206728954,0.0010800885672625155,0.0,0.0008100664254468866,5.400442836312577e-05,0.0017821461359831506,0.0,0.0012421018523518929,0.2428039099206135,0.041259383269428095,0.019117567640546524,0.0010260841388993898,0.005076416266133823,0.0010260841388993898,0.0,0.00016201328508937734,5.400442836312577e-05,0.0,0.0,0.0,0.00037803099854188043,0.0,0.003348274558513798,0.0,0.0,0.0,0.0,0.0,5.400442836312577e-05,0.0,0.0,5.400442836312577e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.051682237943511365,0.0,0.0,0.0,0.0104768591024464,0.0022141815628881566,0.00016201328508937734,0.0,0.00010800885672625155,0.0,0.0
"X206753",0.0,0.0016222479721900347,0.0,0.0003089996137504828,3.862495171881035e-05,0.3350714561606798,3.862495171881035e-05,0.0005021243723445346,0.0,3.862495171881035e-05,0.0,0.004557744302819622,0.1634607956740054,0.009115488605639243,0.04936268829663963,0.001197373503283121,0.0006952491309385864,7.72499034376207e-05,0.0,0.0016608729239088451,0.0,0.0001544998068752414,0.2874468906913866,0.03970645036693704,0.007145616067979915,0.0013132483584395518,0.0682502896871379,0.0002317497103128621,0.0,0.0,7.72499034376207e-05,0.0,0.00011587485515643106,0.0,0.00011587485515643106,0.0,0.009154113557358054,0.0,0.0013518733101583623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.862495171881035e-05,0.0,3.862495171881035e-05,0.00011587485515643106,0.0,0.0,0.0012359984550019312,0.0,0.0,0.0,0.0009269988412514484,0.014600231749710313,7.72499034376207e-05,0.0,0.0001544998068752414,0.0,0.0
"X206711",0.0,4.330691611450349e-05,0.04521242042354164,0.0002598414966870209,0.0,0.21332986878004417,4.330691611450349e-05,0.0,0.0,4.330691611450349e-05,0.0,0.0,0.3638647091940583,0.00012992074834351045,0.04694469706812178,0.02174007188948075,0.0,0.0004763760772595384,0.0,0.0027283357152137195,0.0,0.002771642631328223,0.29366419817244815,0.00021653458057251744,0.0008228314061755663,0.001515742064007622,0.002295266554068685,0.0002598414966870209,0.0,0.00012992074834351045,8.661383222900697e-05,0.00017322766445801395,0.0,0.0,0.0,0.0,0.002122038889610671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017322766445801395,0.0,0.0,0.0005196829933740418,0.0,0.0,0.0,0.00021653458057251744,4.330691611450349e-05,8.661383222900697e-05,0.0,8.661383222900697e-05,0.0,0.0
"X206719",4.2718612499466016e-05,4.2718612499466016e-05,8.543722499893203e-05,0.00029903028749626214,0.0,0.23533683625955829,0.0,0.0,0.0,0.0,0.0,0.0,0.23465333845956685,0.004485454312443932,0.004400017087445,0.012772865137340338,0.0,0.0,0.0,0.0011106839249861165,0.0,0.00042718612499466016,0.49459609551881756,0.0,0.0,0.002520398137468495,8.543722499893203e-05,0.0,0.0,0.0,0.0,8.543722499893203e-05,4.2718612499466016e-05,0.0,0.0,0.0,0.008031099149899612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.543722499893203e-05,4.2718612499466016e-05,8.543722499893203e-05,0.00029903028749626214,0.0,0.0,0.0,0.00042718612499466016,0.0,0.0,0.0,4.2718612499466016e-05,0.0,0.0
"X206726",0.0,0.0,0.00041816509157815507,0.00045998160073597056,0.0,0.27954336371999666,0.0,0.00016726603663126202,0.0,0.0,0.0,0.0,0.255666136990884,0.0,0.013255833403027516,0.007359705611775529,0.0,0.0007945136739984947,0.0,0.0005436146190516015,0.0,0.00020908254578907754,0.4183741741239441,0.0,0.00020908254578907754,0.0013799448022079118,0.005310696663042569,0.008990549468930334,0.0,4.1816509157815506e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006690641465250481,0.0,0.0,0.0,4.1816509157815506e-05,0.0,0.0001254495274734465,0.0,0.0,0.0,0.0,0.0,0.0,0.00016726603663126202,0.0005854311282094171,0.0,0.00020908254578907754,0.0,0.0,0.0,0.004976164589780045,0.0,0.0,0.0,0.000501798109893786,0.0,0.0
"X206730",0.00013462574044157243,0.0,0.0030963920301561657,0.0,0.0,0.002827140549273021,0.0,0.0,0.0,0.0,0.0,0.0035002692514808833,0.11052773290253097,0.0,0.0006731287022078621,0.011443187937533657,0.0,0.00551965535810447,0.0,0.0017501346257404416,0.0,0.00026925148088314486,0.26292407108239096,0.0,0.0012116316639741518,0.008077544426494346,0.0,0.001884760366182014,0.0,0.00013462574044157243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000942380183091007,0.0,0.0005385029617662897,0.0,0.0,0.0,0.00013462574044157243,0.0,0.0005385029617662897,0.000942380183091007,0.0,0.0,0.0,0.0,0.0,0.4885568120624663,0.0,0.0004038772213247173,0.0,0.09369951534733441,0.0,0.00026925148088314486
"X206739",3.777005589968273e-05,0.00030216044719746184,0.0,0.00041547061489651004,0.0,0.3287505665508385,0.0,0.0,0.0,0.00015108022359873092,0.0,0.0,0.3367578184015712,0.01367276023568515,0.005589968273153044,0.018507327390844538,0.0001133101676990482,3.777005589968273e-05,3.777005589968273e-05,0.004494636652062245,0.0,0.000566550838495241,0.210832452032029,0.04808128116029612,0.000982021453391751,0.008800423024626077,0.005098957546457169,0.0002643903912977791,3.777005589968273e-05,0.0001133101676990482,0.0,3.777005589968273e-05,0.0,0.0,0.0,0.0,0.003210454751473032,0.0,0.0,0.008309412297930202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.777005589968273e-05,7.554011179936546e-05,0.0,0.0010575615651911164,3.777005589968273e-05,0.0,3.777005589968273e-05,0.0007554011179936546,7.554011179936546e-05,3.777005589968273e-05,0.0,0.0026439039129777914,3.777005589968273e-05,0.0
"X206741",4.338771259979174e-05,0.0016053453661922944,0.0035577924331829224,0.00017355085039916696,0.0,0.2511714682401944,0.0,0.0,0.0,0.00013016313779937522,8.677542519958348e-05,0.0,0.27086948976049985,0.017138146476917738,0.011150642138146477,0.0007375911141964596,8.677542519958348e-05,0.00013016313779937522,0.0,0.001345019090593544,8.677542519958348e-05,8.677542519958348e-05,0.3809007289135717,0.010846928149947935,0.000824366539396043,0.0030371398819854217,0.033365150989239846,0.00013016313779937522,0.0,0.0,0.00013016313779937522,0.0,0.0,0.0,0.0,0.0,0.010846928149947935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.338771259979174e-05,0.0,0.0,0.0,0.0,4.338771259979174e-05,0.0,0.0,0.0004338771259979174,0.0,0.0,0.0,0.0003471017007983339,0.0,0.0,0.0,0.0006508156889968761,0.0,0.0
"X206742",0.0,0.001276823592404959,0.0,0.00045306643601466287,0.0,0.2122410313439598,0.0,0.00020593928909757404,0.0,0.0,0.0,0.0,0.13970921372379422,0.011120721611268997,0.0386753984925244,0.0011532600189464147,0.00020593928909757404,8.237571563902961e-05,0.0,0.0015239507393220479,0.0,0.00028831500473660367,0.45129535812842375,0.02767824045471395,0.017051773137279132,0.0007413814407512665,0.0517319494213106,0.0,0.0,0.0,4.118785781951481e-05,0.0,0.00037069072037563324,4.118785781951481e-05,4.118785781951481e-05,0.0,0.0018534536018781664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010708843033073849,0.0,0.0,0.0,0.0007413814407512665,0.03805758062523168,4.118785781951481e-05,0.0018534536018781664,0.00045306643601466287,0.0,0.0
"X224324",0.0,4.304407713498623e-05,0.012181473829201102,0.0,0.0,0.13924758953168045,8.608815426997245e-05,0.0,0.0,0.00012913223140495868,0.0,0.0,0.09073691460055096,0.06973140495867769,0.0003013085399449036,0.001506542699724518,0.0,0.0003443526170798898,4.304407713498623e-05,0.0006887052341597796,0.0,0.00012913223140495868,0.6085571625344353,0.0010761019283746557,0.005767906336088154,0.0,0.0001721763085399449,0.0001721763085399449,0.0,0.0001721763085399449,0.0,0.00012913223140495868,0.0,0.0,0.0,0.0,0.0018078512396694215,4.304407713498623e-05,0.0,0.006198347107438017,0.0,0.0,4.304407713498623e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003013085399449036,0.0,0.00043044077134986227,0.0,0.00012913223140495868,0.0,0.059573002754820935,0.0,4.304407713498623e-05,0.0,0.00021522038567493114,0.0,0.0
